Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:11,032714,8025453E0,032714,8025453E0,37.75,US Dollar,37.75,US Dollar,Reinvestment,0
2022/09/01 00:01,034302,802549770,013264,80254F0E0,3285.95,US Dollar,3285.95,US Dollar,ACH,0
2022/09/01 00:23,012719,802549DE0,012719,802549DE0,42407.16,US Dollar,42407.16,US Dollar,Reinvestment,0
2022/09/01 00:23,006010,80254A380,006010,80254A380,2179.97,US Dollar,2179.97,US Dollar,Reinvestment,0
2022/09/01 00:03,035896,80254A9A0,035896,80254A9A0,175.76,US Dollar,175.76,US Dollar,Reinvestment,0
2022/09/01 00:17,012,80254B850,012,80254B850,390.32,US Dollar,390.32,US Dollar,Reinvestment,0
2022/09/01 00:01,025981,80254B940,025981,80254B940,123.89,US Dollar,123.89,US Dollar,Reinvestment,0
2022/09/01 00:29,011904,80254F180,011904,80254F180,22523.92,US Dollar,22523.92,US Dollar,Reinvestment,0
2022/09/01 00:16,033611,802552CA0,033611,802552CA0,4909.51,US Dollar,4909.51,US Dollar,Reinvestment,0
2022/09/01 00:21,014549,802544F50,014549,802544F50,20.02,US Dollar,20.02,US Dollar,Reinvestment,0
2022/09/01 00:02,021611,802549E30,021611,802549E30,12.21,US Dollar,12.21,US Dollar,Reinvestment,0
2022/09/01 00:10,006010,80254A380,006010,80254A380,13.15,US Dollar,13.15,US Dollar,Reinvestment,0
2022/09/01 00:14,01688,80254A900,01688,80254A900,13.55,US Dollar,13.55,US Dollar,Reinvestment,0
2022/09/01 00:09,025981,80254B940,025981,80254B940,21.10,US Dollar,21.10,US Dollar,Reinvestment,0
2022/09/01 00:03,011813,80254C6C0,011813,80254C6C0,7.95,US Dollar,7.95,US Dollar,Reinvestment,0
2022/09/01 00:03,013264,80254F0E0,013264,80254F0E0,6.52,US Dollar,6.52,US Dollar,Reinvestment,0
2022/09/01 00:11,002627,802554D70,002627,802554D70,13.08,US Dollar,13.08,US Dollar,Reinvestment,0
2022/09/01 00:03,034141,802554770,034141,802554770,8451.69,US Dollar,8451.69,US Dollar,Reinvestment,0
2022/09/01 00:24,005836,8025549A0,005836,8025549A0,6199.21,US Dollar,6199.21,US Dollar,Reinvestment,0
2022/09/01 00:02,00795,802554A40,00795,802554A40,1521.23,US Dollar,1521.23,US Dollar,Reinvestment,0
2022/09/01 00:14,015980,802544410,0026442,813576B90,17.28,US Dollar,17.28,US Dollar,Credit Card,0
2022/09/01 00:20,070,100428660,01362,8025564C0,2074.58,US Dollar,2074.58,US Dollar,Cheque,0
2022/09/01 00:29,070,100428660,01362,8025564C0,713.81,US Dollar,713.81,US Dollar,Credit Card,0
2022/09/01 00:25,005394,802556D70,005394,802556D70,180250.21,US Dollar,180250.21,US Dollar,Reinvestment,0
2022/09/01 00:18,005140,802557350,005140,802557350,5162.92,US Dollar,5162.92,US Dollar,Reinvestment,0
2022/09/01 00:01,001068,802557110,001068,802557110,881484.12,US Dollar,881484.12,US Dollar,Reinvestment,0
2022/09/01 00:17,036311,802556150,036311,802556150,9209.26,US Dollar,9209.26,US Dollar,Reinvestment,0
2022/09/01 00:04,011107,80255BC00,011107,80255BC00,199263.84,US Dollar,199263.84,US Dollar,Reinvestment,0
2022/09/01 00:29,01688,801767B10,011107,80255BC00,972816.73,US Dollar,972816.73,US Dollar,Cheque,0
2022/09/01 00:19,01688,801767B10,011107,80255BC00,8559.32,US Dollar,8559.32,US Dollar,Credit Card,0
2022/09/01 00:01,01688,801767B10,011107,80255BC00,858151.85,US Dollar,858151.85,US Dollar,ACH,0
2022/09/01 00:01,021940,80255DA40,021940,80255DA40,5.16,US Dollar,5.16,US Dollar,Reinvestment,0
2022/09/01 00:02,032293,80255FB20,032293,80255FB20,9356.49,US Dollar,9356.49,US Dollar,Reinvestment,0
2022/09/01 00:03,01674,80255FB70,01674,80255FB70,153.57,US Dollar,153.57,US Dollar,Reinvestment,0
2022/09/01 00:20,025981,80255FC60,025981,80255FC60,313.19,US Dollar,313.19,US Dollar,Reinvestment,0
2022/09/01 00:16,022736,80255FED0,022736,80255FED0,9525.49,US Dollar,9525.49,US Dollar,Reinvestment,0
2022/09/01 00:24,006179,80255F2B0,006179,80255F2B0,3.35,US Dollar,3.35,US Dollar,Reinvestment,0
2022/09/01 00:10,002439,80255FAD0,002439,80255FAD0,23.27,US Dollar,23.27,US Dollar,Reinvestment,0
2022/09/01 00:20,022736,80255FED0,022736,80255FED0,18.00,US Dollar,18.00,US Dollar,Reinvestment,0
2022/09/01 00:12,023833,8025613F0,023833,8025613F0,14249.75,US Dollar,14249.75,US Dollar,Reinvestment,0
2022/09/01 00:14,004403,802561120,004403,802561120,10.32,US Dollar,10.32,US Dollar,Reinvestment,0
2022/09/01 00:24,001686,80255E9C0,001686,80255E9C0,788.21,US Dollar,788.21,US Dollar,Reinvestment,0
2022/09/01 00:24,004726,802561BA0,004726,802561BA0,4449.00,US Dollar,4449.00,US Dollar,Reinvestment,0
2022/09/01 00:00,005836,802563620,005836,802563620,93246.63,US Dollar,93246.63,US Dollar,Reinvestment,0
2022/09/01 00:23,070,100428660,005836,802563620,1694.38,US Dollar,1694.38,US Dollar,Cheque,0
2022/09/01 00:08,070,100428660,005836,802563620,48.76,US Dollar,48.76,US Dollar,Credit Card,0
2022/09/01 00:11,012381,8025631F0,012381,8025631F0,5.94,US Dollar,5.94,US Dollar,Reinvestment,0
2022/09/01 00:13,024515,802564B20,024515,802564B20,4889.64,US Dollar,4889.64,US Dollar,Reinvestment,0
2022/09/01 00:03,002947,802564930,002947,802564930,10951.19,US Dollar,10951.19,US Dollar,Reinvestment,0
2022/09/01 00:23,00795,802564E60,00795,802564E60,2803.14,US Dollar,2803.14,US Dollar,Reinvestment,0
2022/09/01 00:02,00795,802564E60,00795,802564E60,24.15,US Dollar,24.15,US Dollar,Reinvestment,0
2022/09/01 00:01,023537,80255C8C0,023537,80255C8C0,16268.12,US Dollar,16268.12,US Dollar,Reinvestment,0
2022/09/01 00:18,002439,80255CD20,002439,80255CD20,7553.58,US Dollar,7553.58,US Dollar,Reinvestment,0
2022/09/01 00:04,003242,80255CD70,003242,80255CD70,9709.22,US Dollar,9709.22,US Dollar,Reinvestment,0
